,rooms,people,home_area (m^2),is_airconditioning_used,is_electronics_used,is_apartment,avg_monthly_income (Rs),children,is_city,electricity_bill (Rs),electricity_bill_prediction
61,3,7,898.5,1,1,0,36884.89,2,1,976.8192518999999,894.1629371102956
62,3,7,893.27,0,1,0,16860.46,1,1,692.4273097,652.6579550070742
63,3,7,533.3,0,1,1,27626.36,0,1,657.3938401,600.9272006308231
64,1,8,518.49,1,1,0,30763.52,0,1,676.1190816000001,696.895578687446
65,3,7,794.89,1,1,0,35189.49,2,0,670.8193916,653.708128307501
66,2,8,711.53,0,0,0,37215.47,1,0,307.582511,298.0024653529206
67,2,6,1010.55,0,1,0,27689.47,1,0,440.5656881,368.71857474300975
68,4,4,845.12,0,1,0,12264.5,1,1,564.655552,596.5802219051054
69,1,7,714.65,1,1,0,24488.96,1,0,567.2766771,550.1248770446746
70,1,5,704.64,0,1,1,31282.86,0,1,626.4506534,605.563397259091
71,2,2,690.69,0,1,1,14905.48,0,1,664.9073388999999,561.0696898192787
72,1,2,704.75,0,1,1,46993.0,0,0,390.59862799999996,351.75515342525864
73,2,4,873.04,1,1,0,22599.47,1,0,525.5660584,528.3131874129061
74,1,4,862.83,0,1,1,14622.24,2,1,654.9969378,759.4411657843423
75,4,6,534.35,0,1,1,45379.66,0,1,633.9372718,604.2940167011457
76,2,5,666.23,0,1,0,25393.47,1,0,328.825046,358.69203819564444
77,3,8,780.66,1,0,1,28477.29,1,1,727.4280326,769.009460463077
78,2,6,700.32,1,1,0,17418.74,2,1,806.5937005,861.1197171310752
79,2,6,388.17,0,1,1,9736.98,1,1,690.6665444,682.8275043955884
80,3,6,637.24,1,1,1,35536.9,0,0,397.6351074,479.2439232472228
81,2,3,868.51,0,1,0,30102.18,0,1,620.1505837999999,550.4984554150547
82,2,5,956.49,1,1,1,30233.2,1,0,640.7265185,602.758587024935
83,3,8,613.67,0,1,0,21489.89,0,0,273.5962329,258.7692172363154
84,2,5,556.77,0,1,1,33455.61,0,0,433.18141160000005,362.35003702723867
85,1,4,719.97,0,1,1,22954.06,0,1,553.3296824,577.6021647783837
86,1,4,722.55,1,0,1,49903.47,0,0,506.9184632,460.3103295900704
87,2,6,755.85,1,0,0,28414.45,2,1,762.1161771000001,813.9726718119849
88,2,4,912.5,1,1,0,29492.59,0,0,547.5001535,414.55897587394907
89,2,8,592.68,1,1,1,20542.24,1,1,780.4230187000001,819.1887540208501
90,-1,5,697.17,0,1,1,17804.39,2,1,817.5148774,784.1404419034839
91,2,4,631.85,1,1,0,29206.67,0,0,445.72348470000003,412.6742050682923
92,3,7,627.3,0,1,0,32568.9,0,1,488.9383085,544.9771267044326
93,2,5,686.0,0,1,0,12090.35,2,1,762.7457624,693.0657952010974
94,4,2,755.81,1,1,0,34541.06,2,0,702.2583676,651.3165898031004
95,3,2,875.98,0,1,0,24849.38,2,0,534.6117634999999,473.3549768805065
96,1,5,729.06,1,1,0,22456.58,1,1,848.0907729,803.1839568609142
97,2,3,698.35,0,0,0,37442.86,2,0,302.49120739999995,385.32771529675745
98,2,5,621.6,1,1,0,27571.38,1,0,421.1591555,529.5437157600787
99,3,9,1123.53,0,1,1,33964.42,0,1,559.968969,602.7705942906605
100,3,5,486.17,0,1,0,18879.68,0,0,198.5154603,234.56711234399327
101,3,10,810.5,0,1,1,39304.91,1,1,815.3694045,701.6295278037168
102,2,6,750.76,1,1,0,26952.99,2,1,789.5914601,862.0709542993966
103,2,4,1000.26,1,1,1,18076.23,0,0,424.9164636,468.96450202672605
104,0,8,758.0,1,1,0,24767.0,0,0,439.72808839999993,410.4888412750455
105,2,3,700.37,0,1,1,14199.3,3,1,836.6893792999999,852.8978451624918
106,3,5,674.38,0,1,0,14925.92,0,1,491.22022089999996,505.1943026972061
107,2,4,1021.58,0,1,1,36811.24,2,0,425.0775643999999,516.238998957618
108,3,4,773.05,0,1,0,20515.14,0,1,451.3722352,515.5839563052091
109,2,8,969.13,1,1,0,10539.88,1,0,439.6013586,546.1309329920449
110,1,7,580.33,0,1,0,30949.12,1,0,472.0017023,383.4722494268736
111,1,4,751.24,0,1,1,24104.97,2,1,835.1975353999999,777.4508270440372
112,1,9,835.06,0,1,1,27876.39,2,1,755.5377839,777.3289925590578
113,1,2,984.48,1,1,1,29999.75,2,1,840.2709695,919.7873449729407
114,1,6,900.96,0,1,0,12476.47,1,1,653.6549818,635.2136078314173
115,2,4,701.95,0,1,1,31473.06,2,1,828.2807862000001,777.813734777397
116,1,6,719.2,0,1,0,31574.87,1,1,541.8547912,605.7598659269944
117,2,4,742.02,1,1,0,28730.32,1,0,603.3643827000001,529.3514987438826
118,2,3,776.74,1,1,1,28498.21,1,1,844.0376613,827.9352501555927
119,3,2,651.79,0,1,0,31858.78,0,1,510.4280629,523.9536085962941
120,2,6,824.89,1,1,1,22751.5,0,1,669.3708527000001,746.2050445529976
121,-1,2,638.39,0,1,0,26305.76,2,1,675.4832544,688.7194825875055
122,2,5,1076.14,0,1,1,34651.95,2,0,558.4210491,517.5212130665668
123,3,7,579.55,1,1,1,23892.45,0,0,457.7362956,476.7885328186265
124,2,4,777.33,0,1,0,20522.84,1,1,704.3168172999999,603.5841036925751
125,2,0,549.85,0,0,0,23928.25,2,1,611.2579713,613.6565892046297
126,1,6,764.09,1,0,1,18017.78,2,0,605.2541021000001,593.8676203003162
127,2,6,879.51,1,1,1,22013.63,0,0,422.5633362,498.6610958757576
128,2,6,671.88,0,0,1,14134.17,1,1,563.5413892999999,603.593518260651
129,2,7,887.91,1,1,0,20988.27,0,1,724.8519505,696.9465032354208
130,3,4,699.8,0,1,1,12241.93,0,1,493.25656739999994,560.8049864504598
131,1,6,850.87,1,1,0,3776.08,0,1,652.293855,694.8956459806756
132,1,11,946.74,0,1,1,28819.03,2,1,730.0905088,775.7865123372679
133,3,7,549.72,0,1,1,41533.34,1,0,556.8264404,448.73224661001785
134,0,5,755.03,0,1,0,19693.19,1,0,261.9466408,368.12734439865255
135,2,6,828.63,1,1,1,10699.02,2,1,836.41467,919.8519942617438
136,1,5,323.95,0,1,0,26295.5,1,1,505.44364759999996,614.779770085126
137,3,6,683.29,0,1,1,23182.8,1,0,507.99120639999995,430.0913468841713
138,2,5,557.23,0,0,0,19273.03,0,0,197.0671145,226.29701907164747
139,2,4,683.02,1,1,1,29193.07,1,0,606.133103,588.9971404998005
140,4,4,840.2,1,1,0,33580.57,0,1,653.2507522000001,688.3510907823878
141,1,8,970.75,0,1,0,32285.37,0,0,367.968041,283.000842544451
142,3,2,929.79,1,0,1,24110.05,2,0,654.9929597999999,607.6591143831511
143,1,5,692.13,0,1,0,26348.19,2,0,490.11769330000004,482.663492643406
144,1,1,878.83,0,1,0,34531.17,1,0,371.7114552,367.40289675964976
145,3,7,572.78,1,1,1,34099.98,1,0,513.9281277,588.6739016588667
146,2,4,840.06,0,1,1,20857.83,2,1,779.8590201000001,760.3312360152827
147,2,2,765.99,0,1,0,21128.67,2,0,470.47463619999996,471.7604451097385
148,2,6,627.91,1,1,1,21104.1,3,0,823.628494,745.2616379440551
149,3,6,884.14,1,1,1,25621.9,0,0,613.4892018999999,505.39213083917986
150,3,6,776.99,1,1,0,15962.89,1,0,517.2493253,509.4835580820109
151,2,8,567.36,1,1,1,12522.58,1,1,896.6508247000002,832.0673595895157
152,1,5,870.71,0,1,1,29910.62,3,1,812.1212149,852.8978451624918
153,2,4,1177.7,1,1,1,19366.43,3,1,984.2688434,1019.108471459202
154,1,5,950.5,0,1,1,15450.66,0,0,414.7156609,366.87808226629386
155,1,2,817.61,0,1,0,38734.51,1,1,622.0495954,584.0274983263727
156,1,7,658.86,0,1,1,35701.06,1,0,534.1766167,444.6064558394379
157,3,7,764.33,0,1,1,31872.19,2,0,570.4230146000001,542.1731659311225
158,3,2,1005.38,1,1,1,33346.93,1,1,754.6272794,831.001871431749
159,1,3,968.28,0,1,0,32258.4,2,1,815.0588562999999,718.8040150547163
160,2,3,800.96,0,1,0,30971.97,2,0,455.34760470000003,479.1945510946279
161,2,3,564.17,1,1,1,16354.79,0,1,610.0848676,730.973030335904
162,1,5,752.39,0,1,1,35560.75,1,1,589.4441598,674.4047889871456
163,2,4,771.59,0,1,1,25489.96,1,1,601.7710286,652.8511590938286
164,2,4,1069.32,0,1,0,12435.65,1,1,686.7638017,611.7339126037003
165,3,5,836.5,0,1,1,28629.77,2,1,862.2175725,778.8755756151644
166,3,5,934.82,0,1,0,24210.55,0,1,593.7690527000001,552.0601354796155
167,2,3,760.75,0,1,0,32129.77,3,0,545.6086012999999,500.4768041350872
168,1,7,665.07,0,1,0,42115.1,1,1,576.2863923,605.072696186524
169,1,4,704.72,0,0,0,20191.55,1,1,500.8210966,532.2071805650469
170,4,-1,1058.32,1,0,0,17182.76,4,0,598.9381837999999,615.9620376562985
171,2,4,883.45,0,0,0,22813.35,2,0,372.44377579999997,384.87765109674876
172,1,6,626.75,0,1,0,31028.6,3,0,457.7769971,503.4072310063878
173,2,5,635.28,0,1,0,32315.58,1,1,567.3438377,614.7301302708795
174,1,5,574.3,0,1,0,11962.93,0,1,429.26384569999993,505.73436305708054
175,1,3,813.06,1,1,1,31780.33,2,1,908.8415470000001,929.1333948392124
176,2,7,911.98,0,1,0,26336.01,2,1,794.8439016,705.410783498281
177,2,4,880.15,0,1,0,22242.58,2,1,616.8825019999999,707.4934731603398
178,2,7,931.86,0,1,0,24697.02,0,1,575.1968352000001,554.3954674955053
179,2,6,809.69,0,1,0,18617.69,1,0,311.4161298,372.85834446824333
180,2,3,786.46,0,1,0,31008.24,3,0,467.478603,500.09423002745774
181,-1,8,801.48,1,1,0,22003.44,2,1,960.3130864,864.651071681523
182,1,4,748.04,1,1,1,16081.34,0,0,382.0630621,462.32567290448225
183,1,5,670.5,1,0,1,-1013.85,2,0,528.6530379,589.9554113078937
184,2,6,548.96,0,1,0,31400.35,2,0,485.73864960000003,496.3259048039219
185,2,5,569.94,0,0,1,19983.43,1,1,562.9551679,597.5009241654408
186,2,3,731.05,0,1,1,21571.95,1,0,479.555862,422.6999039911275
187,1,4,1035.94,1,1,0,38030.46,1,1,821.6955521000001,826.5192786205075
188,1,1,799.66,0,0,0,21299.68,1,0,277.1831966,297.1555998286166
189,2,5,843.85,0,1,0,19607.07,0,0,306.99609879999997,244.3829597040524
190,2,6,928.7,0,1,1,31689.0,1,1,792.8161884,676.7331610190762
191,2,9,856.5,0,1,0,18043.09,1,1,539.6381852999999,645.6678442440866
192,1,5,767.79,0,1,0,28953.16,0,0,183.45032340000003,266.69000545646077
193,2,7,996.66,1,1,0,30070.15,0,1,618.7511794,694.8154489982563
194,4,8,795.46,1,0,0,26405.81,1,1,769.1072468,726.977647053518
195,4,9,678.47,0,0,0,30465.27,2,1,706.8992695000001,622.0773031936093
196,2,8,861.31,1,1,0,24174.71,1,0,640.1846499,547.4083797408381
197,3,5,819.68,1,0,0,10547.98,0,1,586.1330574,628.4028872692662
198,0,3,766.53,0,1,1,25372.96,1,0,300.4399838,422.51354377077087
199,4,2,834.13,1,1,0,32820.26,0,0,453.0959102,416.8153737936276
200,3,0,618.91,1,1,0,19943.2,0,1,709.0744227000001,691.1376645505604
201,1,4,942.95,0,0,0,23348.8,1,1,650.9153022999999,535.7955298228441
202,1,6,1002.71,0,1,1,26478.15,2,0,420.83660030000004,511.9843525490814
203,2,8,834.85,0,1,1,16956.43,0,0,302.893914,365.8061740045916
204,2,7,868.06,1,0,0,26477.51,0,1,551.7878059999999,630.5961654810272
205,1,5,684.37,1,0,1,33920.09,0,1,570.8432625,737.3125847744591
206,1,4,691.12,1,1,0,47090.5,0,1,698.066295,694.7580833092818
207,4,4,801.12,0,1,0,11182.68,2,1,606.3941555,710.3520213741213
208,2,7,825.89,0,1,0,35389.76,0,1,535.0685342,556.671751242056
209,0,5,606.3,1,1,1,23623.36,1,0,558.7426381,589.1319763511673
210,2,7,1046.44,0,1,1,28452.41,1,1,630.6312015999999,676.9030118189664
211,1,3,550.83,0,1,0,27439.6,2,1,586.4738462,687.3336249288127
212,2,2,670.35,0,1,1,16868.7,2,1,669.0412069,746.9772364261676
213,2,3,800.93,1,1,1,26743.0,0,1,746.518128,749.4501753216348
214,2,6,881.87,1,1,0,8927.86,0,1,720.1093318,691.484962285755
215,3,5,772.83,0,1,1,31214.57,0,1,658.2630834,602.0118101666482
216,1,3,730.49,0,0,0,29719.32,1,1,549.545373,514.3803927525107
217,0,4,844.57,1,1,0,26500.91,1,1,880.8234158,818.0500767410027
218,4,2,737.62,1,1,1,35443.13,3,1,1018.8072080000001,1024.6699921974061
219,2,6,643.98,0,0,1,20385.97,0,1,457.52406210000004,466.8498321766126
220,1,5,587.1,0,0,1,12899.98,1,1,531.2852753999999,596.0634735961553
221,3,9,681.31,0,0,1,36553.92,1,0,363.393724,406.0598241659556
222,0,4,857.96,0,1,0,13955.21,0,0,300.1616797,249.2512332988474
223,3,6,792.56,0,1,0,23087.74,2,1,812.8427609,699.3127172210781
224,1,3,938.51,1,1,0,17284.03,2,0,495.1024651000001,598.9505100144085
225,3,6,865.67,0,1,1,35757.27,0,0,393.6225296,370.32160801434185
226,3,5,1087.35,0,1,0,38651.2,1,1,662.5452582,670.0750611205899
227,3,8,669.97,0,1,0,22952.21,1,1,553.4463821,610.822990184761
228,1,5,635.28,0,1,1,21549.44,1,0,481.9255305,425.4234494309916
229,1,4,608.51,0,1,0,34811.43,2,1,776.9682302,705.2899429362562
230,2,9,937.63,0,1,1,10770.83,2,1,836.0758367000001,764.718216141365
231,2,5,904.92,1,1,0,5801.91,0,1,710.6763872,690.2482126709561
232,1,7,788.73,0,1,1,15850.7,0,1,676.9253263999999,591.4962121194623
233,2,1,939.97,0,0,1,27136.17,1,0,387.32329730000004,392.64899969815633
234,1,6,895.91,0,0,0,18822.41,1,0,222.22476310000002,297.3379214582452
235,2,4,690.85,1,1,1,10227.04,0,1,813.9892298999999,746.2426008405422
236,1,5,888.32,0,1,1,36802.71,1,1,603.1229602000001,671.9756779234973
237,2,4,549.95,0,1,0,34362.91,1,1,605.9595005,590.6526812335466
238,0,5,1046.68,1,0,1,21197.44,1,1,801.7182161000001,768.7883075912869
239,4,4,869.29,0,1,0,7682.1,1,1,534.148012,596.5702596968642
240,3,3,927.71,0,1,1,28285.37,0,1,581.3758404,571.9009439118597
241,2,3,1102.5,0,1,1,20783.2,1,0,409.1240787,424.39532172558523
242,1,5,1031.06,1,1,0,38350.58,3,1,1066.594425,984.8437750353258
243,3,3,769.77,0,1,0,15884.25,2,0,536.8192042,462.8175657995014
244,1,5,658.94,0,1,1,28110.64,2,1,818.8201127,797.5928961172201
245,3,4,660.55,0,1,1,43636.94,0,1,616.4123284,591.1447989650304
246,2,7,664.49,1,1,0,33094.49,1,0,590.0817935,547.1513480935062
247,1,6,701.3,0,1,0,37684.67,0,0,250.93131839999998,277.2774899259068
248,2,5,963.07,0,1,0,44918.46,2,0,494.01890810000003,488.78251018675655
249,3,5,993.23,0,1,0,31536.8,1,1,752.0093749,673.0076098594542
250,2,7,974.28,1,0,1,9282.02,0,1,630.8952742,733.7809130101912
251,2,3,731.11,0,1,1,20693.18,0,0,245.22434080000002,335.5118840704713
252,4,1,862.33,0,1,0,20098.58,1,0,272.8650264,356.79225861001413
253,1,2,708.64,1,1,0,34663.71,1,0,562.0554916,531.5761294667046
254,1,5,612.54,0,0,1,20217.23,2,0,442.11685439999997,459.1613684665053
255,1,7,840.81,0,0,0,30684.89,0,0,226.4556426,281.3397668628733
256,1,2,680.57,1,1,1,4884.15,0,1,617.8314193,743.082609649756
257,2,8,790.51,1,1,0,24854.53,1,1,905.4282994999999,819.0887045514631
258,0,6,979.89,1,1,0,14522.36,3,1,914.6161758,980.532700830216
259,2,4,972.95,0,1,1,34625.01,3,1,829.2913526000001,852.8978451624918
260,3,2,676.98,0,1,0,22900.94,2,1,711.565416,704.8478036105994
261,2,3,581.22,0,1,0,29023.85,1,1,572.7088478,570.9114185139521
262,3,5,1166.71,1,1,1,13738.55,1,1,926.7304853,819.0068054356796
263,2,2,924.17,0,1,0,16058.13,0,0,279.7438394,236.71846074844737
264,2,4,996.35,1,1,1,37360.13,1,0,571.2180811000001,602.758587024935
265,3,6,1097.89,0,1,1,22277.67,2,1,709.3098137999999,765.5618142844182
266,2,6,548.8,0,1,0,27080.23,2,0,543.9354183999999,495.5708923118351
267,3,7,981.26,0,1,1,-526.54,3,1,783.5255785,852.8978451624918
268,0,4,904.53,1,1,1,56531.08,0,0,583.2398175,483.4230662419587
269,2,4,835.05,1,1,1,-90.52,0,1,794.6139999999999,756.0430345881429
270,3,6,786.93,0,1,1,17196.35,0,1,568.6786069,591.2996082293295
271,0,4,1185.36,0,1,1,28864.24,0,1,662.1393949,596.2335055402101
272,2,4,534.15,1,1,0,24618.26,1,1,682.4090632,792.8644554127266
273,2,6,700.94,1,1,0,18591.7,0,1,679.1481047999999,691.5002567746052
274,2,6,662.82,0,1,1,20919.1,2,1,656.4575669,768.5512954774438
275,2,7,860.15,0,1,0,39465.64,2,0,509.02915880000006,491.0523558956853
276,4,7,709.59,0,1,1,18900.25,1,0,350.8113244,411.70912758275335
277,0,9,843.85,0,0,1,22729.18,1,1,577.2556066000001,614.7862748124485
278,1,6,948.47,0,1,0,25758.26,2,0,474.1761551,487.66074303402604
279,2,6,750.79,0,1,1,22787.4,3,1,888.2096974,852.8978451624918
280,3,3,571.3,0,1,0,27899.3,0,0,294.6957175,249.6756416267301
281,3,5,942.5,1,0,1,15292.0,0,0,400.7263335,463.59668618640353
282,2,1,560.7,1,1,0,26586.82,1,0,456.862551,524.5393625295537
283,1,6,701.89,0,1,1,32896.78,0,0,366.0123683,370.1365148888088
284,3,5,1074.9,0,0,1,26420.49,1,0,309.3080252,392.3382616708253
285,1,7,892.85,0,1,1,15912.6,1,0,373.87294710000003,406.49355013528907
286,1,8,848.04,0,1,1,18347.8,1,1,696.6311855,681.4655051203927
287,2,4,749.44,0,1,1,21510.21,2,0,483.10734890000003,522.483887665336
288,3,7,754.59,1,1,0,30996.0,1,0,522.8448179,520.767041925971
289,1,4,821.37,0,0,1,14991.02,0,1,463.5323308,470.78851965224
290,3,7,916.95,0,1,1,19975.74,2,1,782.7341352999999,764.1862501497922
291,2,6,898.26,1,1,1,15825.46,0,0,524.5383396000001,496.40737397978205
292,2,5,593.12,1,1,1,25339.76,1,1,780.9526325,814.8784511867079
293,3,2,752.36,0,1,1,9371.77,3,0,609.0749818,567.6131261470316
294,1,3,757.73,1,1,0,22432.58,2,1,915.4694544,875.963587329674
295,4,8,635.78,0,1,1,24609.66,0,0,432.3340355,373.57981832546875
296,3,6,676.79,0,0,1,21962.35,1,1,583.2890522000001,608.7385898056757
297,3,7,827.01,0,1,1,26537.74,0,0,432.2673572,378.11757374013956
298,2,7,606.43,1,1,0,16225.94,2,1,850.4622698,860.125379197218
299,0,1,557.07,1,1,1,7525.82,1,1,800.1079434,809.7401043916663
300,1,4,942.08,0,1,1,27218.13,1,1,616.0944936000001,645.2357966948733
301,1,6,833.6,0,1,0,28663.06,0,1,547.9316486,547.3580388358054
302,2,8,813.67,1,1,1,15648.87,2,0,621.6985441,668.4783475207676
303,2,6,361.13,0,0,1,28218.63,1,0,441.87392919999996,397.6891815160207
304,2,5,711.94,0,1,1,19210.78,1,0,418.50825160000005,415.087104014429
305,1,7,696.3,0,1,0,30768.18,1,1,532.4827927,605.3642173842941
306,2,6,599.88,0,1,1,24223.48,0,1,494.14093169999995,588.8797126390257
307,1,7,661.46,0,1,1,31908.08,1,0,444.270298,441.2376377030975
308,3,6,704.81,0,1,0,20227.31,0,0,189.435056,266.0620792038176
309,2,4,828.85,0,1,0,-1048.77,2,0,382.6288977,455.2358375204965
310,2,7,915.66,0,1,0,8824.44,0,1,436.7547868,523.214415064363
311,0,4,906.78,0,1,0,24609.42,2,1,793.7354241,715.7543942170435
312,3,4,916.19,1,1,0,19258.73,2,1,971.6818099,900.0322909157181
313,3,8,631.54,0,1,1,12107.02,1,1,756.0872302,694.2283038332525
314,1,4,802.95,0,1,0,47110.28,1,0,410.3066595,374.4837695031095
315,2,1,597.39,1,1,0,20184.42,1,1,769.0576612000001,784.0734528884137
316,3,9,744.67,1,1,1,26095.19,1,1,788.4536996,829.485026835921
317,0,2,840.99,1,1,1,26297.68,2,0,663.8351392000001,666.9756557439637
318,1,6,1066.39,1,0,1,47483.47,1,1,748.8090585,768.3982543951992
319,3,5,820.39,0,1,1,9501.99,2,1,787.2543942000001,767.1009895152067
320,3,7,824.91,1,0,0,20618.16,3,1,931.0142392000001,890.5474942662244
321,0,2,702.84,0,0,1,23958.43,0,1,475.0254414,465.2832301670953
322,2,2,653.43,1,0,1,25127.72,1,1,769.0218418,773.9093254114407
323,2,5,663.28,0,1,1,32704.18,1,1,650.4666246,679.0129450497542
324,0,5,780.22,0,1,1,14164.11,2,1,818.3629448,777.6056698335747
325,2,6,911.58,1,0,1,36316.9,1,0,475.0777396000001,509.32233003720336
326,2,5,244.4,1,0,1,39823.7,2,1,858.6716877,836.045228029144
327,2,5,674.53,0,1,0,16451.23,0,0,163.36477140000002,226.8216754062205
328,3,5,1019.52,1,1,1,21532.89,1,1,760.5243042000001,806.2291415854723
329,1,1,515.34,0,1,1,11753.98,0,1,460.1106084,552.7583496174673
330,1,5,584.85,0,0,0,2108.61,0,1,440.81244979999997,461.8928980110705
331,4,7,900.39,1,1,0,22294.67,1,1,883.6118169,812.7781250605792
332,4,6,829.15,1,1,0,18777.36,2,1,833.1895497,883.0366774253005
333,2,4,814.28,0,1,0,34929.14,1,0,418.7832479,371.28480669039106
334,1,8,895.34,1,1,0,36314.02,1,0,532.7216015,549.7815082378901
335,2,6,911.72,1,1,1,24762.94,0,1,845.9697556,755.6048500990958
336,4,7,770.68,1,0,0,24871.18,0,1,714.2096849999999,632.5443124758855
337,1,3,824.05,0,1,0,38321.36,3,1,784.1259378999999,778.6849502000018
338,5,3,750.58,0,0,0,13397.44,0,1,439.59100430000007,453.08620679831836
339,1,9,835.59,0,1,0,44083.19,0,1,580.1261035,554.1552006763608
340,1,2,791.78,1,1,0,27267.91,2,1,882.6201297,879.0565657461797
341,3,5,879.29,1,1,0,24582.51,3,0,748.8892047999999,745.3906977102718
342,0,4,1116.41,0,1,1,19658.51,3,0,585.5771093999999,565.903381034945
343,2,3,698.84,0,0,0,26577.03,1,1,442.226251,514.3803927525107
344,2,5,842.02,0,1,1,36015.54,2,1,837.8105896000001,782.2182351932262
345,2,6,787.1,0,1,1,29109.56,4,0,803.503396,577.3306141569594
346,4,3,720.31,1,0,1,22691.55,2,1,849.2852360999999,832.0029727415699
347,3,5,773.66,1,0,1,35807.59,0,1,770.5384418,762.2293885209488
348,2,2,1075.89,0,0,1,16451.71,0,0,357.7844607,292.59547884600374
