,Date,HolidayFlag,DayOfWeek,WeekOfYear,Day,Month,Year,HalfHourPeriod,ForecastWindProduction,NationalLoadForecast,PriceForecast$,Temperature C,Windspeed km/h,CO2Intensity g/kWh,WindProduction MWh,NationalSystemLoad MWh,Price $
103,2011-11-03 03:30:00,0,3,44,3,11,2011,7,965.93,2864.73,6.02,12.0,33.3,358.43,841.0,2534.7,32.54
104,2011-11-03 04:00:00,0,3,44,3,11,2011,8,935.27,2877.09,6.02,12.0,25.9,363.8,804.0,2515.52,32.54
105,2011-11-03 04:30:00,0,3,44,3,11,2011,9,904.77,2851.49,6.02,12.0,29.6,376.8,796.0,2482.96,32.54
106,2011-11-03 05:00:00,0,3,44,3,11,2011,10,874.68,2864.5,6.02,12.0,25.9,362.45,782.0,2531.99,32.54
107,2011-11-03 05:30:00,0,3,44,3,11,2011,11,860.08,2932.35,35.97,12.0,29.6,376.01,773.0,2586.35,32.54
108,2011-11-03 06:00:00,0,3,44,3,11,2011,12,845.42,3059.59,0.01,12.0,24.1,384.5,822.0,2791.72,42.73
109,2011-11-03 06:30:00,0,3,44,3,11,2011,13,830.81,3340.51,40.35,12.0,24.1,394.32,954.0,3042.61,42.73
110,2011-11-03 07:00:00,0,3,44,3,11,2011,14,816.31,3771.01,41.64,12.0,29.6,439.47,904.0,3406.09,42.73
111,2011-11-03 07:30:00,0,3,44,3,11,2011,15,801.78,4259.64,43.27,12.0,24.1,456.14,884.0,3610.5,43.26
112,2011-11-03 08:00:00,0,3,44,3,11,2011,16,787.11,4472.6,50.35,12.0,29.6,465.72,884.0,3885.4,51.88
113,2011-11-03 08:30:00,0,3,44,3,11,2011,17,799.67,4581.52,45.38,12.0,27.8,492.0,798.0,4083.36,45.37
114,2011-11-03 09:00:00,0,3,44,3,11,2011,18,812.04,4671.49,45.38,12.0,24.1,505.1,796.0,4253.6,45.37
115,2011-11-03 09:30:00,0,3,44,3,11,2011,19,824.04,4770.76,50.38,12.0,25.9,499.26,872.0,4355.21,45.37
116,2011-11-03 10:00:00,0,3,44,3,11,2011,20,835.18,4790.93,52.99,12.0,24.1,497.63,864.0,4403.21,45.37
117,2011-11-03 10:30:00,0,3,44,3,11,2011,21,847.35,4818.24,52.99,12.0,22.2,499.29,878.0,4472.67,45.37
118,2011-11-03 11:00:00,0,3,44,3,11,2011,22,858.5,4848.26,52.99,13.0,24.1,492.14,863.0,4491.64,45.37
119,2011-11-03 11:30:00,0,3,44,3,11,2011,23,806.29,4860.53,52.99,13.0,24.1,478.47,921.0,4522.46,45.37
120,2011-11-03 12:00:00,0,3,44,3,11,2011,24,756.14,4895.71,53.37,13.0,24.1,491.8,805.0,4572.09,45.37
121,2011-11-03 12:30:00,0,3,44,3,11,2011,25,706.89,4902.11,53.37,13.0,22.2,487.66,773.0,4601.22,48.28
122,2011-11-03 13:00:00,0,3,44,3,11,2011,26,659.86,4922.71,57.56,13.0,24.1,496.27,727.0,4533.1,48.28
123,2011-11-03 13:30:00,0,3,44,3,11,2011,27,615.68,4846.66,57.12,11.0,25.9,499.35,758.0,4474.42,45.37
124,2011-11-03 14:00:00,0,3,44,3,11,2011,28,573.58,4855.61,57.56,13.0,24.1,511.13,705.0,4505.79,45.37
125,2011-11-03 14:30:00,0,3,44,3,11,2011,29,542.05,4909.53,57.56,13.0,25.9,509.18,641.0,4476.38,45.37
126,2011-11-03 15:00:00,0,3,44,3,11,2011,30,510.33,4962.59,57.54,13.0,22.2,522.25,589.0,4479.28,48.28
127,2011-11-03 15:30:00,0,3,44,3,11,2011,31,476.97,4996.69,57.54,12.0,18.5,529.17,533.0,4502.84,48.28
128,2011-11-03 16:00:00,0,3,44,3,11,2011,32,443.08,5088.61,57.54,12.0,24.1,523.81,521.0,4572.72,99.57
129,2011-11-03 16:30:00,0,3,44,3,11,2011,33,406.26,5354.42,61.86,12.0,22.2,535.7,512.0,4800.27,99.57
136,2011-11-03 20:00:00,0,3,44,3,11,2011,40,287.72,5216.83,64.69,9.0,9.3,532.74,413.0,4774.93,54.18
137,2011-11-03 20:30:00,0,3,44,3,11,2011,41,251.42,5057.33,62.38,8.0,7.4,544.02,400.0,4649.2,48.28
138,2011-11-03 21:00:00,0,3,44,3,11,2011,42,217.84,4931.4,61.94,7.0,7.4,552.24,378.0,4507.45,48.28
139,2011-11-03 21:30:00,0,3,44,3,11,2011,43,186.7,4726.75,60.7,7.0,7.4,575.44,305.0,4311.06,48.28
140,2011-11-03 22:00:00,0,3,44,3,11,2011,44,158.39,4484.32,57.54,8.0,5.6,582.27,301.0,4101.7,45.37
141,2011-11-03 22:30:00,0,3,44,3,11,2011,45,133.17,4244.42,57.1,7.0,5.6,570.27,229.0,3951.16,48.28
142,2011-11-03 23:00:00,0,3,44,3,11,2011,46,110.67,4060.7,55.43,8.0,3.7,599.91,217.0,3863.68,48.28
143,2011-11-03 23:30:00,0,3,44,3,11,2011,47,101.78,3971.44,55.43,8.0,1.9,595.34,178.0,3663.66,45.37
144,2011-11-04 00:00:00,0,4,44,4,11,2011,0,93.65,3714.38,52.39,8.0,5.6,622.35,158.0,3446.04,45.37
145,2011-11-04 00:30:00,0,4,44,4,11,2011,1,86.07,3512.19,51.29,8.0,0.0,644.13,118.0,3255.45,44.93
146,2011-11-04 01:00:00,0,4,44,4,11,2011,2,79.56,3344.71,51.29,8.0,3.7,634.41,97.0,3130.56,44.93
147,2011-11-04 01:30:00,0,4,44,4,11,2011,3,73.78,3206.67,50.04,8.0,7.4,616.65,92.0,3023.76,43.26
148,2011-11-04 02:00:00,0,4,44,4,11,2011,4,68.66,3105.04,48.77,8.0,11.1,619.6,86.0,2926.91,43.26
149,2011-11-04 02:30:00,0,4,44,4,11,2011,5,70.0,3016.16,34.88,7.0,9.3,628.14,94.0,2864.25,43.26
150,2011-11-04 03:00:00,0,4,44,4,11,2011,6,71.68,2987.77,34.88,7.0,13.0,623.81,92.0,2841.52,42.73
151,2011-11-04 03:30:00,0,4,44,4,11,2011,7,73.72,2978.95,34.88,7.0,9.3,630.58,92.0,2832.75,42.73
152,2011-11-04 04:00:00,0,4,44,4,11,2011,8,75.94,2992.0,34.88,7.0,9.3,625.55,120.0,2836.51,42.73
153,2011-11-04 04:30:00,0,4,44,4,11,2011,9,78.48,2958.98,34.88,7.0,11.1,628.49,116.0,2835.48,42.73
154,2011-11-04 05:00:00,0,4,44,4,11,2011,10,81.51,3003.63,47.11,7.0,11.1,625.42,124.0,2868.13,42.73
155,2011-11-04 05:30:00,0,4,44,4,11,2011,11,83.4,3083.73,48.77,7.0,11.1,637.7,106.0,2920.47,42.73
156,2011-11-04 06:00:00,0,4,44,4,11,2011,12,85.42,3203.44,43.64,8.0,7.4,648.38,122.0,3102.0,42.73
157,2011-11-04 06:30:00,0,4,44,4,11,2011,13,87.53,3495.09,45.03,8.0,7.4,648.26,94.0,3338.37,43.12
158,2011-11-04 07:00:00,0,4,44,4,11,2011,14,89.6,3870.42,45.55,7.0,9.3,653.02,95.0,3694.29,46.45
159,2011-11-04 07:30:00,0,4,44,4,11,2011,15,91.63,4253.77,47.38,7.0,11.1,644.11,101.0,3899.94,46.45
160,2011-11-04 08:00:00,0,4,44,4,11,2011,16,92.96,4506.15,47.88,7.0,7.4,627.3,104.0,4148.99,46.45
161,2011-11-04 08:30:00,0,4,44,4,11,2011,17,99.01,4615.08,49.14,8.0,7.4,607.72,115.0,4387.53,46.45
162,2011-11-04 09:00:00,0,4,44,4,11,2011,18,104.08,4694.12,49.7,8.0,7.4,586.12,112.0,4586.37,46.45
163,2011-11-04 09:30:00,0,4,44,4,11,2011,19,108.86,4801.71,50.65,9.0,7.4,575.47,106.0,4662.54,46.45
164,2011-11-04 10:00:00,0,4,44,4,11,2011,20,111.11,4820.47,50.67,9.0,9.3,587.71,94.0,4658.06,46.45
165,2011-11-04 10:30:00,0,4,44,4,11,2011,21,112.81,4848.68,50.78,9.0,7.4,592.39,98.0,4702.36,46.45
166,2011-11-04 11:00:00,0,4,44,4,11,2011,22,116.71,4838.74,50.45,10.0,7.4,588.84,99.0,4729.63,46.45
167,2011-11-04 11:30:00,0,4,44,4,11,2011,23,121.92,4872.91,50.76,10.0,11.1,583.8,137.0,4714.11,46.45
168,2011-11-04 12:00:00,0,4,44,4,11,2011,24,128.24,4886.06,50.82,11.0,9.3,581.24,168.0,4724.58,46.45
169,2011-11-04 12:30:00,0,4,44,4,11,2011,25,135.02,4892.31,50.8,11.0,7.4,577.75,218.0,4725.75,46.45
170,2011-11-04 13:00:00,0,4,44,4,11,2011,26,143.59,4919.82,50.96,12.0,13.0,577.88,268.0,4646.37,46.07
171,2011-11-04 13:30:00,0,4,44,4,11,2011,27,152.98,4783.6,49.44,12.0,20.4,599.89,243.0,4561.55,46.07
172,2011-11-04 14:00:00,0,4,44,4,11,2011,28,162.84,4717.55,47.88,10.0,13.0,604.47,266.0,4526.41,45.45
173,2011-11-04 14:30:00,0,4,44,4,11,2011,29,155.05,4697.59,47.88,11.0,7.4,600.7,265.0,4488.41,45.45
174,2011-11-04 15:00:00,0,4,44,4,11,2011,30,142.97,4716.53,49.24,12.0,9.3,599.96,224.0,4485.89,46.07
175,2011-11-04 15:30:00,0,4,44,4,11,2011,31,131.23,4790.27,50.26,11.0,9.3,601.83,164.0,4502.47,46.07
176,2011-11-04 16:00:00,0,4,44,4,11,2011,32,119.33,4887.01,49.07,10.0,5.6,592.93,170.0,4573.75,46.07
177,2011-11-04 16:30:00,0,4,44,4,11,2011,33,107.39,5078.54,49.2,11.0,3.7,588.94,140.0,4812.29,53.18
182,2011-11-04 19:00:00,0,4,44,4,11,2011,38,114.42,5395.24,59.15,8.0,9.3,537.01,104.0,5235.56,70.22
183,2011-11-04 19:30:00,0,4,44,4,11,2011,39,119.68,5266.82,52.3,8.0,9.3,535.71,106.0,5067.77,74.03
184,2011-11-04 20:00:00,0,4,44,4,11,2011,40,125.31,5099.37,50.44,7.0,11.1,542.87,111.0,4898.15,70.4
185,2011-11-04 20:30:00,0,4,44,4,11,2011,41,120.11,4905.97,49.59,7.0,11.1,542.99,99.0,4737.88,65.32
186,2011-11-04 21:00:00,0,4,44,4,11,2011,42,115.27,4758.39,49.46,7.0,9.3,546.73,116.0,4580.5,51.04
187,2011-11-04 21:30:00,0,4,44,4,11,2011,43,110.64,4562.85,50.08,7.0,11.1,563.02,112.0,4375.52,51.04
188,2011-11-04 22:00:00,0,4,44,4,11,2011,44,106.21,4381.32,50.49,7.0,11.1,570.76,102.0,4187.62,51.04
189,2011-11-04 22:30:00,0,4,44,4,11,2011,45,101.94,4171.16,49.47,7.0,13.0,592.03,103.0,4049.42,51.04
190,2011-11-04 23:00:00,0,4,44,4,11,2011,46,96.1,4090.64,47.88,6.0,11.1,606.17,93.0,4006.44,51.04
191,2011-11-04 23:30:00,0,4,44,4,11,2011,47,89.6,4042.64,47.88,6.0,11.1,605.06,97.0,3853.5,51.04
192,2011-11-05 00:00:00,0,5,44,5,11,2011,0,83.4,3819.31,46.67,6.0,13.0,610.49,88.0,3647.63,51.04
193,2011-11-05 00:30:00,0,5,44,5,11,2011,1,81.3,3592.25,46.25,6.0,11.1,625.51,86.0,3447.32,50.04
194,2011-11-05 01:00:00,0,5,44,5,11,2011,2,79.2,3415.41,46.25,5.0,14.8,642.73,106.0,3305.1,48.83
195,2011-11-05 01:30:00,0,5,44,5,11,2011,3,78.0,3251.33,45.55,5.0,13.0,650.98,97.0,3175.33,48.83
196,2011-11-05 02:00:00,0,5,44,5,11,2011,4,77.6,3122.39,45.49,5.0,13.0,642.61,90.0,3077.74,48.41
197,2011-11-05 02:30:00,0,5,44,5,11,2011,5,82.0,3027.52,45.03,5.0,9.3,627.31,85.0,2998.74,48.41
198,2011-11-05 03:00:00,0,5,44,5,11,2011,6,88.2,2974.48,45.03,5.0,7.4,612.36,69.0,2964.3,48.41
199,2011-11-05 03:30:00,0,5,44,5,11,2011,7,99.0,2934.02,45.03,5.0,13.0,606.3,68.0,2945.04,48.41
200,2011-11-05 04:00:00,0,5,44,5,11,2011,8,110.0,2901.71,45.03,5.0,11.1,612.04,41.0,2926.45,48.41
201,2011-11-05 04:30:00,0,5,44,5,11,2011,9,121.1,2866.79,44.6,5.0,13.0,611.18,42.0,2890.57,48.41
202,2011-11-05 05:00:00,0,5,44,5,11,2011,10,129.8,2851.6,44.6,5.0,11.1,609.54,44.0,2899.48,48.41
203,2011-11-05 05:30:00,0,5,44,5,11,2011,11,129.8,2861.26,44.6,5.0,13.0,612.05,36.0,2909.99,47.71
204,2011-11-05 06:00:00,0,5,44,5,11,2011,12,132.0,2919.4,44.01,5.0,16.7,613.96,39.0,2993.84,44.9
205,2011-11-05 06:30:00,0,5,44,5,11,2011,13,135.9,3022.57,44.01,5.0,14.8,625.24,61.0,3083.21,44.89
206,2011-11-05 07:00:00,0,5,44,5,11,2011,14,140.0,3144.31,44.43,4.0,14.8,644.4,80.0,3241.52,44.9
207,2011-11-05 07:30:00,0,5,44,5,11,2011,15,146.0,3284.72,44.43,4.0,11.1,649.35,72.0,3310.76,44.9
208,2011-11-05 08:00:00,0,5,44,5,11,2011,16,151.0,3412.91,44.88,4.0,14.8,644.73,80.0,3485.27,47.32
209,2011-11-05 08:30:00,0,5,44,5,11,2011,17,156.5,3644.12,44.89,5.0,14.8,645.85,89.0,3728.28,48.27
210,2011-11-05 09:00:00,0,5,44,5,11,2011,18,159.6,3902.4,45.92,5.0,14.8,597.66,107.0,4009.35,64.4
211,2011-11-05 09:30:00,0,5,44,5,11,2011,19,156.9,4096.86,48.05,5.0,16.7,572.99,99.0,4167.67,66.58
212,2011-11-05 10:00:00,0,5,44,5,11,2011,20,154.8,4196.98,48.05,6.0,14.8,570.92,80.0,4285.62,71.68
213,2011-11-05 10:30:00,0,5,44,5,11,2011,21,156.9,4325.87,48.05,7.0,13.0,555.95,61.0,4351.57,58.62
214,2011-11-05 11:00:00,0,5,44,5,11,2011,22,160.3,4400.86,48.05,8.0,14.8,563.01,52.0,4372.94,52.95
215,2011-11-05 11:30:00,0,5,44,5,11,2011,23,168.0,4433.68,48.05,9.0,16.7,568.01,45.0,4373.98,52.95
216,2011-11-05 12:00:00,0,5,44,5,11,2011,24,176.2,4481.83,48.26,9.0,18.5,569.45,59.0,4389.94,58.62
217,2011-11-05 12:30:00,0,5,44,5,11,2011,25,184.4,4522.62,48.26,10.0,20.4,571.08,64.0,4357.96,52.95
